0,0,0,1|38/43
0,0,1,1|38/43
1,1,0,0|37/43
1,1,1,0|39/43
1,1,1,1|40/43
0,1,0,0|3/43
0,1,1,0|2/43
1,0,0,0|5/43
1,0,1,0|10/43
0,0,0,0|20/43
0,0,1,0|23/43
0,1,0,1|18/43
0,1,1,1|19/43
1,0,0,1|22/43
1,0,1,1|17/43
1,1,0,1|36/43

0,0,0,1|0.883720930233
0,0,1,1|0.883720930233
1,1,0,0|0.860465116279
1,1,1,0|0.906976744186
1,1,1,1|0.93023255814
0,1,0,0|0.0697674418605
0,1,1,0|0.046511627907
1,0,0,0|0.116279069767
1,0,1,0|0.232558139535
0,0,0,0|0.46511627907
0,0,1,0|0.53488372093
0,1,0,1|0.418604651163
0,1,1,1|0.441860465116
1,0,0,1|0.511627906977
1,0,1,1|0.395348837209
1,1,0,1|0.837209302326
