0,0,0,1|38/45
0,0,1,1|39/45
1,1,0,0|39/45
1,1,1,0|38/45
1,1,1,1|42/45
0,1,0,0|6/45
0,1,1,0|8/45
1,0,0,0|3/45
1,0,1,0|5/45
0,0,0,0|13/45
0,0,1,0|15/45
0,1,0,1|30/45
0,1,1,1|28/45
1,0,0,1|21/45
1,0,1,1|31/45
1,1,0,1|38/45

0,0,0,1|0.844444444444
0,0,1,1|0.866666666667
1,1,0,0|0.866666666667
1,1,1,0|0.844444444444
1,1,1,1|0.933333333333
0,1,0,0|0.133333333333
0,1,1,0|0.177777777778
1,0,0,0|0.0666666666667
1,0,1,0|0.111111111111
0,0,0,0|0.288888888889
0,0,1,0|0.333333333333
0,1,0,1|0.666666666667
0,1,1,1|0.622222222222
1,0,0,1|0.466666666667
1,0,1,1|0.688888888889
1,1,0,1|0.844444444444
