1,1,1,0|28/34
1,0,1,0|33/34
1,0,1,1|31/34
1,1,0,1|28/34
0,1,1,1|27/34
1,1,0,0|15/34
0,1,1,0|7/34
0,0,0,1|4/34
0,0,0,0|3/34
0,0,1,0|8/34
0,0,1,1|19/34
0,1,0,0|9/34
0,1,0,1|14/34
1,0,0,0|16/34
1,0,0,1|26/34
1,1,1,1|31/34

1,1,1,0|0.823529411765
1,0,1,0|0.970588235294
1,0,1,1|0.911764705882
1,1,0,1|0.823529411765
0,1,1,1|0.794117647059
1,1,0,0|0.441176470588
0,1,1,0|0.205882352941
0,0,0,1|0.117647058824
0,0,0,0|0.0882352941176
0,0,1,0|0.235294117647
0,0,1,1|0.558823529412
0,1,0,0|0.264705882353
0,1,0,1|0.411764705882
1,0,0,0|0.470588235294
1,0,0,1|0.764705882353
1,1,1,1|0.911764705882
