1,1,1,0|32/36
1,0,1,0|33/36
1,0,1,1|35/36
1,1,0,1|29/36
0,1,1,1|30/36
1,1,0,0|7/36
0,1,1,0|7/36
0,0,0,1|3/36
0,0,0,0|5/36
0,0,1,0|14/36
0,0,1,1|19/36
0,1,0,0|4/36
0,1,0,1|15/36
1,0,0,0|19/36
1,0,0,1|22/36
1,1,1,1|29/36

1,1,1,0|0.888888888889
1,0,1,0|0.916666666667
1,0,1,1|0.972222222222
1,1,0,1|0.805555555556
0,1,1,1|0.833333333333
1,1,0,0|0.194444444444
0,1,1,0|0.194444444444
0,0,0,1|0.0833333333333
0,0,0,0|0.138888888889
0,0,1,0|0.388888888889
0,0,1,1|0.527777777778
0,1,0,0|0.111111111111
0,1,0,1|0.416666666667
1,0,0,0|0.527777777778
1,0,0,1|0.611111111111
1,1,1,1|0.805555555556
